claranet_spryker-demoshop,,
yacy_yacy_grid_mcp,,
dotnet-architecture_eShopModernizing,AZ,C:\Users\camyi\dotnet-architecture_eShopModernizing\ACI\aci.json
greenpress_greenpress,,
hashintel_engine,AWS;TF,C:\Users\camyi\hashintel_engine\tests\hash-graph-test-data\rust\src\entity\building.json;C:\Users\camyi\hashintel_engine\infra\terraform\hash\postgres_roles\variables.tf
EGA-archive_beacon-2.x,,
psisoyev_train-station,,
tokend_developer-edition,,
BrainBackup_bb8,AWS,C:\Users\camyi\BrainBackup_bb8\types\tslint.json
gctools-outilsgc_profile_service,,
Patrik-Stas_indyscan,TF,C:\Users\camyi\Patrik-Stas_indyscan\start-aws\variables.tf
azavea_tilegarden,,
Bauer-Xcel-Media_node-healthchecks-api,,
MEAE-GOT_WAII,,
pagarme_tldr,,
rodrigorodrigues_microservices-design-patterns,AWS,C:\Users\camyi\rodrigorodrigues_microservices-design-patterns\python-service\app\app\output.json
hubcare_hubcare-api,,
SrinivasanTarget_ContractTestingBoilerplate,,
CoorpAcademy_serverless-plugins,,
teffland_FoodborneNYC,,
phongnguyend_Practical.CleanArchitecture,AWS;AZ;TF,C:\Users\camyi\phongnguyend_Practical.CleanArchitecture\src\Monolith\ClassifiedAds.BlazorWebAssembly\wwwroot\appsettings.Development.json;C:\Users\camyi\phongnguyend_Practical.CleanArchitecture\src\Monolith\ClassifiedAds.WebMVC\appsettings.Production.json;C:\Users\camyi\phongnguyend_Practical.CleanArchitecture\deployments\Azure\terraform\locals.tf
barnumd_idp-in-a-box,TF,C:\Users\camyi\barnumd_idp-in-a-box\terraform\070-id-sync\versions.tf
KSP-CKAN_NetKAN-Infra,,
transitco_serviceOffer,,
FUB-HCC_IKON-backend,,
wazo-platform_wazo-phoned,,
ukwa_ukwa-heritrix,,
geoserver_geoserver-cloud,,
confluentinc_cp-all-in-one,,
pclubiitk_puppy-love,,
mozilla-services_autograph-edge,,
CMLPlatform_ramascene,,
